Time(s),AP68-EQ4-psaNorthSouth(g),AP68-EQ4-psaEastWest(g),BA49-EQ7-psaNorthSouth(g),BA49-EQ7-psaEastWest(g),BO39-EQ9-psaNorthSouth(g),BO39-EQ9-psaEastWest(g),CA59-EQ10-psaNorthSouth(g),CA59-EQ10-psaEastWest(g),CU80-EQ22-psaNorthSouth(g),CU80-EQ22-psaEastWest(g),HJ72-EQ32-psaNorthSouth(g),HJ72-EQ32-psaEastWest(g),JA43-EQ34-psaNorthSouth(g),JA43-EQ34-psaEastWest(g),MY19-EQ42-psaNorthSouth(g),MY19-EQ42-psaEastWest(g),RI76-EQ48-psaNorthSouth(g),RI76-EQ48-psaEastWest(g),VM29-EQ59-psaNorthSouth(g),VM29-EQ59-psaEastWest(g),XP06-EQ61-psaNorthSouth(g),XP06-EQ61-psaEastWest(g)
0.000,0.130967931,0.160750948,,,,,,,0.146858002,0.168630163,,,,,,,,,,,,
0.010,0.131536687,0.161473996,,,,,,,0.147082834,0.168863354,,,,,,,,,,,,
0.020,0.131404128,0.160751845,0.091043475,0.115875036,0.079530055,0.097046553,0.085212313,0.091661118,0.146875525,0.169952355,0.092190911,0.098352983,0.084862428,0.108363194,0.122722736,0.114382116,0.053501577,0.074132425,0.086887045,0.096931421,0.083720563,0.129739198
0.030,0.131986656,0.160953425,0.090817206,0.115324953,0.079622394,0.097236384,0.085502174,0.091710216,0.146889072,0.18644314,0.092263072,0.099118888,0.084751663,0.108795085,0.12295608,0.114822621,0.053420226,0.074418564,0.087085211,0.09701206,0.083500663,0.110878586
0.040,0.132458563,0.16152316,0.090748441,0.119688022,0.079821711,0.098824108,0.08561278,0.091625018,0.146888899,0.210301774,0.09241516,0.099440648,0.085694723,0.108807143,0.123222718,0.114209505,0.053682629,0.074225381,0.087094947,0.097692501,0.08332796,0.110159608
0.050,0.135210693,0.163476565,0.090765975,0.117569451,0.080222938,0.099488161,0.086269095,0.092165127,0.147282446,0.169690754,0.093258268,0.100125882,0.085926254,0.110521429,0.122996266,0.115624914,0.053859293,0.074313191,0.087376978,0.096651249,0.083546671,0.110988343
0.060,0.136638155,0.162496493,0.091551581,0.116414363,0.08110099,0.098267888,0.086266404,0.092197309,0.148116667,0.180670815,0.095434508,0.101053335,0.086028755,0.111008088,0.123267155,0.115530445,0.054147798,0.076236451,0.088367998,0.097706115,0.083455876,0.110624484
0.070,0.134308349,0.164028155,0.090580139,0.118766507,0.081377008,0.098704772,0.086295863,0.09275086,0.148091376,0.212129113,0.093544877,0.104467683,0.088905549,0.113362463,0.123045352,0.117176434,0.058615134,0.076065625,0.089940945,0.096852755,0.083487785,0.110123546
0.080,0.13600421,0.163928879,0.091111425,0.118542381,0.081390924,0.099149425,0.08707218,0.092502652,0.14794368,0.233628186,0.094439712,0.099176526,0.095861475,0.114230607,0.12323956,0.122035754,0.061740616,0.074207715,0.088563131,0.099151197,0.083535818,0.111946581
0.090,0.135853415,0.168726259,0.091244348,0.11912835,0.082791343,0.098750298,0.093208949,0.098355572,0.149576483,0.235835311,0.095721511,0.102424374,0.089087458,0.115538026,0.122035391,0.121530981,0.062774026,0.078148674,0.08995092,0.099002559,0.085171618,0.115211395
0.100,0.14771685,0.167164893,0.090846243,0.115129649,0.082571367,0.099143329,0.100264515,0.09573255,0.150971957,0.21518157,0.105069902,0.102887801,0.096745017,0.128261553,0.125011262,0.124434189,0.068552001,0.0837254,0.091123628,0.099037497,0.083674686,0.119122878
0.110,0.149475596,0.166782436,0.091666324,0.115625811,0.087983814,0.101428298,0.098170351,0.0979125,0.15183105,0.190490642,0.112221995,0.116257261,0.098568619,0.126793482,0.127087478,0.126358607,0.062365326,0.081394503,0.090054427,0.10081162,0.085368022,0.116621822
0.120,0.153498736,0.186870092,0.090965631,0.117606511,0.084159037,0.102367934,0.095578342,0.097434097,0.152821437,0.181179643,0.117567191,0.119878896,0.105559051,0.129516297,0.130984224,0.129327432,0.064375638,0.077311448,0.094027656,0.099229802,0.084244309,0.122207289
0.130,0.152022681,0.204947778,0.092892476,0.119279411,0.083808065,0.104028057,0.093594919,0.097249872,0.156003211,0.19420054,0.118550916,0.152796062,0.099204387,0.137111499,0.1259743,0.143781558,0.058856625,0.083163857,0.095417464,0.099292141,0.085006469,0.12684326
0.140,0.145234414,0.188641448,0.09364536,0.117355605,0.080656323,0.112404727,0.093837858,0.103274927,0.155169531,0.215027268,0.137334039,0.141156311,0.096912238,0.133325402,0.125271415,0.141696429,0.06195013,0.084479449,0.101283772,0.102281166,0.086567972,0.119619004
0.150,0.160560968,0.177170133,0.093135968,0.116752587,0.088063387,0.107446809,0.108843458,0.108199979,0.154312283,0.235363099,0.12695522,0.124588818,0.11021008,0.139682138,0.136998447,0.158670325,0.061346461,0.087915372,0.103713325,0.100746857,0.086729457,0.120031654
0.160,0.165582141,0.210107543,0.092217464,0.118629535,0.098134241,0.103474775,0.09686379,0.108052327,0.15532473,0.242709837,0.115296154,0.106182019,0.111396158,0.143002721,0.157917246,0.159132959,0.058303669,0.083412223,0.098840065,0.107300368,0.085752613,0.116010045
0.170,0.167364485,0.212161967,0.092913627,0.127101252,0.103193892,0.104930584,0.085916822,0.101098944,0.154133955,0.256058063,0.103394412,0.105165644,0.106736595,0.157822447,0.170039425,0.16625504,0.05804758,0.091451768,0.109963444,0.109147195,0.089919159,0.112190252
0.180,0.177046228,0.210189429,0.095460771,0.131615388,0.11550776,0.107206817,0.09852299,0.102065463,0.163919256,0.257645046,0.106708675,0.104194491,0.107907136,0.155018401,0.201959062,0.153040589,0.058368911,0.09536791,0.126428736,0.133749787,0.08718699,0.114276715
0.190,0.164285087,0.231220805,0.095888757,0.128590583,0.122989944,0.124524691,0.107714677,0.111165029,0.168789225,0.27638474,0.110384938,0.098804745,0.11606937,0.152920913,0.210602741,0.166685798,0.0646706,0.097953727,0.120616863,0.133704721,0.087915976,0.115596199
0.200,0.190309918,0.253179633,0.095292453,0.123549177,0.116850853,0.128130426,0.10810389,0.119626316,0.162367136,0.289883863,0.114129455,0.097209351,0.138860972,0.161649934,0.217412213,0.187075084,0.066993802,0.094633394,0.119450241,0.126421901,0.089824951,0.117689578
0.210,0.201381274,0.264135861,0.095096679,0.122631331,0.108804698,0.124613434,0.116377906,0.126483797,0.166468349,0.286243527,0.120650979,0.098603573,0.162993014,0.187654776,0.216553345,0.204558624,0.06801739,0.081802972,0.127120314,0.138755995,0.095726879,0.135753322
0.220,0.225571906,0.211950968,0.098065749,0.119804147,0.115590864,0.115276504,0.132397631,0.131739293,0.170143751,0.283049368,0.125871309,0.106027026,0.153328795,0.186705493,0.195227549,0.193983966,0.067860357,0.079840246,0.116557943,0.136123575,0.105710215,0.153353829
0.230,0.235118848,0.213596748,0.095522128,0.124229451,0.096858296,0.117670261,0.11698049,0.125991322,0.165251876,0.282622813,0.134883012,0.109781826,0.139311153,0.198233909,0.198122823,0.200498088,0.069143843,0.088003405,0.118631761,0.127706284,0.114182958,0.151816421
0.240,0.223064781,0.210805739,0.09854028,0.130870365,0.092047628,0.118130107,0.117051921,0.115069645,0.169868614,0.281528084,0.133157691,0.108661718,0.14721348,0.207678184,0.187237337,0.192311754,0.069611835,0.09236266,0.130128702,0.120972327,0.119608344,0.14934015
0.250,0.196193078,0.203960296,0.107319312,0.135366195,0.100375144,0.118943419,0.121517471,0.10944013,0.172948746,0.274361804,0.132456933,0.110641966,0.166508388,0.215034667,0.169378325,0.174299762,0.063974126,0.089213862,0.125590172,0.121488098,0.123036804,0.156443247
0.260,0.182345454,0.214662436,0.108234236,0.140484828,0.116213035,0.127679223,0.128255311,0.114277904,0.17499476,0.255512793,0.136503869,0.129875292,0.187539295,0.223009353,0.154920299,0.181208994,0.062954216,0.08863439,0.128102483,0.117902323,0.118778429,0.153608502
0.270,0.173715617,0.228334057,0.115942623,0.148558463,0.125875712,0.139785072,0.13042155,0.127243796,0.195405341,0.247246371,0.12759075,0.150247675,0.197646043,0.212860116,0.16211603,0.197059133,0.065953823,0.095870235,0.126856045,0.12758507,0.114182507,0.136796236
0.280,0.186453456,0.23683579,0.122429537,0.154980341,0.125500369,0.138734381,0.128874085,0.132925822,0.196941203,0.246488838,0.119501649,0.153333234,0.205391713,0.23113433,0.180380293,0.195643785,0.071709443,0.09979595,0.133230732,0.146039374,0.117864461,0.124659095
0.290,0.185504057,0.273170061,0.122728248,0.15453173,0.128427314,0.129394163,0.129056092,0.140410856,0.193379276,0.234958644,0.115580547,0.180444717,0.178781746,0.245653968,0.183178603,0.184340793,0.072882616,0.097764914,0.144686254,0.160974498,0.116231253,0.134236691
0.300,0.179833191,0.283926361,0.12123873,0.144381796,0.124694433,0.12507839,0.136707008,0.147958691,0.197710673,0.231619602,0.118473949,0.195232073,0.168273258,0.243006939,0.166292482,0.181426025,0.073426519,0.098924382,0.145862574,0.160789469,0.109402785,0.142044022
0.310,0.203037095,0.276717982,0.116211325,0.13462728,0.118571695,0.12711933,0.136914485,0.146010567,0.200283823,0.251349174,0.119034644,0.188974279,0.161209153,0.229614055,0.166719597,0.191087926,0.071784302,0.100622262,0.159021225,0.156907958,0.111153521,0.139418188
0.320,0.224045301,0.28434631,0.114629746,0.125270807,0.113999983,0.136296838,0.128089497,0.159878079,0.192736565,0.2505621,0.117780732,0.191936032,0.163213604,0.213793799,0.184316215,0.192643767,0.073139764,0.104051486,0.170238095,0.162510463,0.11246136,0.131747795
0.330,0.245134587,0.286997808,0.114845174,0.125396354,0.115476339,0.154152135,0.124026004,0.167577153,0.193456636,0.244066687,0.124075198,0.201460787,0.175209257,0.219314164,0.212852913,0.191803278,0.07267731,0.109691139,0.178140286,0.174057834,0.114397249,0.128254731
0.340,0.239894373,0.278875851,0.10575164,0.128853101,0.129502306,0.173341851,0.13851316,0.165193922,0.199103405,0.240333313,0.137217313,0.195726819,0.192158577,0.204733019,0.233583073,0.183187772,0.070498374,0.118837423,0.170731043,0.188063651,0.114374806,0.126016025
0.350,0.236283649,0.288448196,0.110830963,0.144223702,0.133146537,0.178062637,0.147686936,0.159263867,0.197065454,0.230729358,0.143887103,0.215832784,0.206442033,0.190867159,0.244978189,0.169006847,0.072960725,0.128242088,0.178236458,0.193488582,0.109485203,0.133812484
0.360,0.262024638,0.28740841,0.113835965,0.155429891,0.127815791,0.172359178,0.147106824,0.157001624,0.194720703,0.226123384,0.156167963,0.240156464,0.21280649,0.192422328,0.24948604,0.155186097,0.078035547,0.138830355,0.188166948,0.186941294,0.113120419,0.14638453
0.370,0.272881498,0.318221876,0.126577559,0.156435507,0.125283523,0.167055768,0.140261729,0.151482181,0.193742222,0.23145893,0.181616503,0.254473939,0.210619088,0.190025636,0.253576563,0.153645723,0.090005386,0.137950597,0.193511928,0.183851044,0.116720823,0.154930545
0.380,0.253208094,0.347781886,0.13034487,0.148756844,0.118172451,0.166364957,0.14084447,0.145109584,0.205984373,0.242046789,0.210918063,0.24885276,0.210004893,0.194487258,0.254337492,0.154316596,0.098001464,0.125801022,0.178286889,0.18318728,0.114921955,0.153819906
0.390,0.252479501,0.371544557,0.122003877,0.139014425,0.112485092,0.165207889,0.140172027,0.148268765,0.223988736,0.237446769,0.235782443,0.237134351,0.239604134,0.189354723,0.278032906,0.15810385,0.099872191,0.110745176,0.151984557,0.17355048,0.118355814,0.146808717
0.400,0.22981737,0.385136799,0.109318511,0.139282768,0.112159993,0.158560589,0.141000838,0.163681155,0.243811957,0.229910703,0.250880915,0.22689669,0.267292907,0.176476452,0.319453297,0.168210362,0.093238921,0.100417752,0.140074297,0.158637992,0.130823006,0.136285688
0.410,0.222021733,0.405545596,0.108273191,0.140348902,0.118007198,0.150175906,0.14529739,0.17103672,0.262529786,0.229023721,0.249332187,0.209413338,0.278600516,0.171170606,0.349099707,0.177432004,0.083705506,0.10385633,0.132855727,0.149360552,0.140695388,0.133206037
0.420,0.209609205,0.407673507,0.112986327,0.14293028,0.130824376,0.151574406,0.146440951,0.169715969,0.275668216,0.228341386,0.235812046,0.184604189,0.276867693,0.169635753,0.367029707,0.19303318,0.082741838,0.106970311,0.130397108,0.148324803,0.140936263,0.137508983
0.430,0.202455535,0.374453782,0.116898406,0.14242293,0.144129985,0.151344291,0.153023708,0.163227778,0.284406361,0.238696565,0.217369586,0.16827293,0.27620295,0.165337921,0.36414466,0.215684745,0.081449652,0.11023223,0.14480986,0.153017071,0.135636739,0.143521724
0.440,0.1857879,0.337687197,0.121526411,0.143461742,0.154778554,0.158248056,0.160989804,0.155551254,0.290881213,0.265052314,0.20143722,0.153527037,0.284690208,0.166694188,0.33916528,0.232254709,0.079374703,0.111863213,0.156848756,0.156543859,0.131287229,0.146875547
0.450,0.205212008,0.330806809,0.127695759,0.143890101,0.159804403,0.168539044,0.166171645,0.167563648,0.297070041,0.29703106,0.189229485,0.148739059,0.29758493,0.16991171,0.307192652,0.230083248,0.076964473,0.110977169,0.163319215,0.165806181,0.137530626,0.156156201
0.460,0.218269613,0.311145872,0.132772954,0.142694858,0.158825571,0.176493456,0.169746938,0.17775017,0.308268624,0.317099276,0.178709739,0.14316423,0.311890235,0.166530622,0.281197796,0.221327807,0.076235978,0.109391271,0.1623265,0.174855469,0.138896736,0.16846752
0.470,0.233168186,0.298806728,0.138707381,0.14392725,0.154772116,0.1828852,0.164505644,0.181137507,0.329425341,0.31988843,0.179015543,0.135664586,0.330942195,0.173878429,0.26132466,0.230410837,0.078565183,0.110151555,0.156786977,0.185930086,0.154041578,0.173915887
0.480,0.249159674,0.329364954,0.150315382,0.145115407,0.148237122,0.188248536,0.161629744,0.179164357,0.357126075,0.326829766,0.185247391,0.129630436,0.346994201,0.177605054,0.248540975,0.248338275,0.086114399,0.116000902,0.150316416,0.194135117,0.159940405,0.172142462
0.490,0.258532497,0.371635831,0.163980984,0.150991733,0.141671279,0.187960707,0.159906161,0.172107753,0.37721367,0.341652029,0.195173329,0.135806866,0.346469096,0.183511134,0.245383144,0.268869245,0.093757942,0.130145239,0.151625503,0.214623562,0.154815713,0.170687219
0.500,0.258753619,0.398282599,0.187695067,0.156373072,0.138471522,0.180150314,0.152989929,0.18743585,0.383523792,0.353714516,0.205704278,0.144312557,0.32714788,0.200006658,0.265811389,0.286183591,0.106361894,0.150698979,0.149391605,0.248335367,0.144200352,0.172231118
0.510,0.254902803,0.40879631,0.209638298,0.158951542,0.137395835,0.188599112,0.144824613,0.196800456,0.377030968,0.369187635,0.212509075,0.150104563,0.30384276,0.226190025,0.286512159,0.29823963,0.112970661,0.169145121,0.160589865,0.27558375,0.136072593,0.17293745
0.520,0.25337738,0.410002059,0.224843233,0.160188962,0.135395533,0.188471376,0.146425394,0.202801094,0.35457474,0.387746045,0.21464118,0.16666476,0.291135805,0.255480794,0.305185562,0.308605084,0.116250134,0.181049085,0.176997736,0.290903079,0.144758684,0.172803426
0.530,0.254972396,0.408981274,0.229927152,0.160578409,0.138733426,0.184787785,0.169768999,0.208265588,0.324926096,0.392724179,0.209578158,0.186881666,0.28767297,0.276196331,0.317596321,0.322718481,0.121729488,0.18625147,0.185052227,0.290759547,0.15408872,0.175232742
0.540,0.258080897,0.413909164,0.229284405,0.173445041,0.145841677,0.182513178,0.189509874,0.209107269,0.302138818,0.374404771,0.196282962,0.19751338,0.284442722,0.27852241,0.321223006,0.341276632,0.12594822,0.189095074,0.198831976,0.275658315,0.159273808,0.183787266
0.550,0.264285291,0.426436473,0.228308416,0.178220044,0.150236121,0.181485455,0.196125937,0.204895474,0.278946493,0.344763741,0.198390066,0.197354686,0.269837118,0.262910316,0.315925983,0.355049025,0.121107277,0.191845777,0.208352394,0.253482027,0.159573845,0.187899873
0.560,0.268315209,0.438260224,0.226994648,0.172308733,0.147936511,0.180483034,0.193962583,0.199725745,0.26367316,0.324107931,0.201668353,0.193937102,0.248713906,0.239826103,0.304911601,0.351367503,0.11302239,0.193239716,0.211929297,0.235341854,0.162820356,0.187405779
0.570,0.264660785,0.441333354,0.222742516,0.165634458,0.138666825,0.181419493,0.191885542,0.192535118,0.256946228,0.303302314,0.20064945,0.191850975,0.231541324,0.223083054,0.290262771,0.341002158,0.121603514,0.191671453,0.209024572,0.226180809,0.163554988,0.18316312
0.580,0.255491672,0.431213629,0.216064007,0.167041471,0.140405178,0.187288276,0.191818226,0.180906753,0.256652742,0.306329185,0.205955585,0.186734698,0.21140214,0.211691981,0.278952565,0.32063361,0.123437097,0.187467094,0.201619917,0.223669499,0.16356344,0.18169248
0.590,0.247763751,0.446735168,0.206578811,0.168415244,0.13956173,0.195483032,0.201068846,0.16815906,0.259005066,0.31031263,0.205332962,0.187167472,0.188746363,0.205997201,0.283369023,0.292295987,0.117411223,0.181570762,0.194659583,0.224336356,0.162338875,0.183722496
0.600,0.247327074,0.467543089,0.199573614,0.176329612,0.135904576,0.207050079,0.206967055,0.158951048,0.261134934,0.313773476,0.214895845,0.193590121,0.168430179,0.210212968,0.285964438,0.271041187,0.106965394,0.174762243,0.185720877,0.226256417,0.168105329,0.189689213
0.610,0.256255749,0.487747431,0.189858008,0.182849965,0.130063485,0.218700428,0.207134368,0.153971516,0.267766799,0.315766565,0.215557355,0.196812358,0.16665957,0.215645287,0.288154631,0.260763927,0.102189839,0.166995161,0.183027893,0.227285781,0.17661326,0.195656771
0.620,0.271614893,0.508449643,0.178632456,0.188422188,0.124238614,0.225350824,0.203535835,0.150709239,0.27915158,0.332608685,0.209204087,0.195990055,0.165325234,0.219819332,0.289918138,0.255853131,0.097885099,0.158937136,0.177872867,0.224807982,0.175689141,0.198292278
0.630,0.286688705,0.521862273,0.166924101,0.193018251,0.120974004,0.224087817,0.20344274,0.152254336,0.292691784,0.35840262,0.20741164,0.190976204,0.16360863,0.220043999,0.289555829,0.256107265,0.092917515,0.152794897,0.172480029,0.218022285,0.167550974,0.196662387
0.640,0.296463313,0.520390815,0.155850755,0.197213767,0.120167979,0.216088385,0.194676695,0.151114523,0.304973578,0.383340693,0.215244446,0.185098072,0.160816289,0.21368142,0.28512832,0.267750891,0.090314984,0.151593951,0.17260511,0.207447749,0.162627318,0.19012277
0.650,0.298298155,0.500679867,0.145920717,0.201332284,0.118446679,0.212634305,0.180548801,0.145888503,0.322843629,0.404091356,0.218975771,0.180818137,0.156829187,0.204668048,0.275803996,0.291132487,0.089162652,0.152842122,0.167502068,0.194817612,0.162476798,0.180384089
0.660,0.292844179,0.464666086,0.13734592,0.205035448,0.113951128,0.213144716,0.167761016,0.138472893,0.341000714,0.417219399,0.217791802,0.1761265,0.152467564,0.192064349,0.262508999,0.315977768,0.086790495,0.15230393,0.160544892,0.19153696,0.159917557,0.17143822
0.670,0.282651662,0.420332467,0.136599685,0.208144206,0.110621326,0.208150187,0.160565112,0.129027418,0.355047064,0.419028603,0.219578278,0.176690488,0.152085108,0.178417741,0.249536825,0.331627153,0.083625638,0.149212724,0.159481927,0.191310039,0.156065986,0.165254939
0.680,0.270555515,0.391212538,0.138212732,0.210618897,0.113808647,0.200446941,0.153792755,0.124704318,0.362516881,0.40868371,0.236229287,0.183481582,0.150049793,0.165898422,0.253663647,0.333124793,0.080874788,0.147555276,0.158485204,0.191799094,0.155487241,0.160997402
0.690,0.259027615,0.360569531,0.140003024,0.211752242,0.119584163,0.191304766,0.154946459,0.120151533,0.367900377,0.402510438,0.252960511,0.192251786,0.15381954,0.164674634,0.254884324,0.323384227,0.079475241,0.151982665,0.158880523,0.189240374,0.162425554,0.156811332
0.700,0.250515994,0.331955413,0.141859416,0.216261387,0.127486226,0.181799264,0.158266244,0.117839241,0.376893772,0.402604975,0.267997847,0.2004085,0.158149994,0.164285532,0.25279889,0.310269908,0.079055391,0.155662023,0.160545795,0.182458204,0.168888367,0.153122783
0.710,0.244958471,0.307684077,0.143825926,0.221765311,0.133910236,0.173636052,0.162075393,0.115245782,0.389037839,0.399437248,0.279711559,0.206275979,0.163076887,0.162319917,0.247184913,0.301117929,0.081542578,0.159516599,0.163066192,0.191801231,0.174335368,0.151418688
0.720,0.242163384,0.288305138,0.145606385,0.228535152,0.139426106,0.177794492,0.16521548,0.119361204,0.399290805,0.396237401,0.288018893,0.210117554,0.169503931,0.1657578,0.248417456,0.300215029,0.086943252,0.163772728,0.166525597,0.205184263,0.183451395,0.159182437
0.730,0.242090571,0.274790754,0.146523765,0.239567327,0.144984364,0.181829469,0.166609295,0.123290982,0.403167696,0.395779246,0.292863735,0.211207578,0.178157817,0.176440844,0.26946384,0.306585882,0.09137827,0.166983703,0.170714484,0.219923986,0.2013328,0.165035593
0.740,0.244213976,0.267550663,0.146400693,0.254629311,0.156401628,0.181999691,0.165605847,0.128156036,0.398695902,0.398788063,0.295760634,0.210162322,0.188620333,0.186135425,0.290435525,0.317079138,0.094312285,0.167796967,0.176696318,0.23298347,0.217707373,0.16858571
0.750,0.247977299,0.267090815,0.146732199,0.270008944,0.164319802,0.177126375,0.161825663,0.134477459,0.387553048,0.404442426,0.29690443,0.207779046,0.199335934,0.19502924,0.310019812,0.328893456,0.096083422,0.16637198,0.194245188,0.240410662,0.229692984,0.169824911
0.760,0.252659755,0.272543476,0.149995642,0.283507729,0.168365142,0.180352973,0.155185846,0.14223495,0.376019908,0.4101579,0.297127249,0.206486508,0.20868567,0.202243914,0.328275439,0.338852263,0.096603581,0.164490672,0.210192738,0.239761712,0.234993827,0.172964502
0.770,0.257552864,0.281253445,0.156870046,0.29507955,0.168922892,0.186243432,0.154706114,0.150579462,0.370399429,0.413326391,0.295512903,0.206672792,0.215862055,0.207145898,0.344115688,0.344950267,0.096001047,0.169098011,0.221798292,0.232841273,0.246651997,0.180241512
0.780,0.261337574,0.290183833,0.16533912,0.305280057,0.166625693,0.186645113,0.15758416,0.158727353,0.371671967,0.425577778,0.29117125,0.206770249,0.220201459,0.209510559,0.355927311,0.355097837,0.095355696,0.178933353,0.229578692,0.222501425,0.257528731,0.190451981
0.790,0.263746962,0.296556524,0.173317731,0.313332312,0.162615886,0.183658731,0.164091882,0.166123905,0.376867248,0.425567227,0.283205825,0.204170688,0.22112296,0.208512345,0.362939887,0.372390598,0.096590752,0.18862415,0.236223145,0.226970125,0.263965546,0.200778074
0.800,0.264759796,0.299165963,0.180507757,0.318385365,0.157987237,0.181433769,0.169874427,0.172760788,0.381779541,0.414350499,0.271175395,0.197123499,0.218238401,0.213054903,0.366264958,0.385986754,0.101434022,0.196558264,0.242667671,0.237738115,0.266467693,0.210408207
0.810,0.264993394,0.298379572,0.187888017,0.32008254,0.152850798,0.182811214,0.175065514,0.178700308,0.384855708,0.396414404,0.255726403,0.189636121,0.211739668,0.219770581,0.368451436,0.39576741,0.105735713,0.201676715,0.246692327,0.244894127,0.263908559,0.219312827
0.820,0.266423354,0.295982661,0.195656244,0.316952426,0.146374414,0.186129265,0.179425579,0.184231958,0.385908614,0.375827645,0.246714038,0.194392397,0.202339885,0.221161914,0.372945026,0.402081134,0.109646264,0.203008739,0.244782894,0.24521395,0.255500995,0.227665326
0.830,0.270589052,0.294290122,0.202917208,0.308908107,0.138695699,0.190714644,0.182803341,0.189375011,0.385186351,0.359058226,0.240348534,0.199274162,0.19675346,0.21899559,0.380931796,0.406251574,0.113261406,0.200393351,0.23580956,0.237771517,0.241955184,0.235765811
0.840,0.278334709,0.295083476,0.209187142,0.296320982,0.143129771,0.194723458,0.185347788,0.194436007,0.382969235,0.349763884,0.22913111,0.203876913,0.189987045,0.214801275,0.393428176,0.408776572,0.116402204,0.194537105,0.224701397,0.242834627,0.225138145,0.24422564
0.850,0.289837452,0.298971937,0.215320559,0.281535725,0.145701954,0.19665961,0.187586299,0.199634793,0.379971998,0.342148756,0.224076583,0.207542956,0.178766238,0.209483111,0.411136641,0.415492293,0.11874996,0.186971872,0.213806375,0.2476151,0.207309825,0.253547075
0.860,0.305069918,0.30534002,0.222714915,0.285343789,0.146707917,0.195469592,0.190192164,0.205136155,0.376958716,0.335313344,0.219129848,0.20963963,0.174352846,0.203903146,0.432769938,0.423993059,0.120154596,0.179855995,0.202625415,0.252016844,0.196144192,0.263528204
0.870,0.321341672,0.312680836,0.231436615,0.292841772,0.146510525,0.191583754,0.193594434,0.210656655,0.374983935,0.329204526,0.2131108,0.210016574,0.174946902,0.203377118,0.456696163,0.432467334,0.123944885,0.185698914,0.194122148,0.255180309,0.190175301,0.273223605
0.880,0.337667258,0.319064261,0.24070182,0.300456037,0.145422207,0.188618105,0.197817514,0.215261791,0.373455545,0.323725627,0.205697995,0.208021548,0.175127597,0.202517098,0.480338173,0.439950489,0.129068005,0.190270017,0.193904058,0.256305766,0.187247568,0.281087843
0.890,0.353097635,0.327401998,0.249692955,0.308202751,0.145006215,0.1918322,0.20272815,0.217813339,0.371133894,0.319058593,0.196629784,0.203891199,0.174240689,0.200666059,0.50206951,0.445227486,0.133959841,0.191228817,0.193636,0.254628189,0.187553322,0.285851788
0.900,0.366631641,0.348883619,0.261673059,0.316675059,0.144903329,0.201263088,0.208110922,0.21760222,0.366481682,0.315512691,0.199336186,0.198150223,0.172178585,0.197558318,0.521074922,0.456991839,0.137706937,0.18825006,0.19362655,0.249978763,0.190881321,0.285906969
0.910,0.377258512,0.365023119,0.2789191,0.32683264,0.144586351,0.213923647,0.219040808,0.214672866,0.358509317,0.313080133,0.200784408,0.192644821,0.169081215,0.193323987,0.53732426,0.48532224,0.139111315,0.193521287,0.199044599,0.242402996,0.196709007,0.281627201
0.920,0.384043231,0.371708145,0.297657676,0.339332943,0.14438562,0.2268236,0.233464163,0.209760205,0.351563384,0.311437064,0.200748614,0.189771782,0.16986534,0.188525615,0.551327441,0.507183385,0.137542542,0.200786039,0.204889863,0.231998414,0.203495114,0.274378078
0.930,0.386603884,0.367601182,0.316530374,0.354042693,0.144431717,0.23749367,0.247247811,0.212566025,0.383064108,0.31024368,0.200071733,0.187590977,0.171130421,0.1834162,0.562439613,0.526168232,0.133788749,0.207695883,0.209200236,0.219060453,0.209408788,0.266487985
0.940,0.385076718,0.353309174,0.333728202,0.369824068,0.144884397,0.244398288,0.260440926,0.213753875,0.410025382,0.309315494,0.205191221,0.192800965,0.171399673,0.178867379,0.570506781,0.539536554,0.133738906,0.223209198,0.209503522,0.204751351,0.213034073,0.259686434
0.950,0.380177961,0.332113588,0.346521784,0.384740236,0.146006028,0.247573464,0.272410542,0.212201093,0.431394414,0.308705739,0.209278691,0.194902312,0.170613751,0.175150984,0.574570448,0.543844312,0.133682721,0.233470709,0.204642796,0.191403511,0.214727011,0.255197083
0.960,0.377561937,0.307939174,0.353378611,0.396742173,0.147928403,0.247659891,0.282635543,0.209124824,0.446258716,0.30876054,0.211784451,0.19423201,0.168673927,0.172416451,0.573655481,0.539334027,0.135003184,0.238548091,0.195283455,0.193927204,0.215852226,0.25312642
0.970,0.372707747,0.28815629,0.354221775,0.412361759,0.153079628,0.245236075,0.290680656,0.205031914,0.455824567,0.314902966,0.212069768,0.190981585,0.165772382,0.169956697,0.567649928,0.527023708,0.137904026,0.239229344,0.189197083,0.198423094,0.217352423,0.252616453
0.980,0.366357604,0.283348828,0.349669259,0.424322476,0.158247136,0.240801796,0.296128813,0.200299925,0.460938481,0.328116514,0.209672222,0.185168017,0.162235168,0.166922342,0.557034406,0.508600441,0.14173084,0.236358334,0.184329198,0.199462137,0.218766505,0.252296573
0.990,0.35895524,0.287118909,0.340746308,0.4260991,0.16221967,0.234958849,0.298863619,0.194709769,0.473541733,0.341491978,0.20473751,0.180026421,0.158444931,0.16271572,0.543517198,0.486081727,0.145522592,0.230891236,0.178590569,0.19766652,0.218477107,0.250623128
1.000,0.35066106,0.291828869,0.328678842,0.417427296,0.164759327,0.228288154,0.299346547,0.1995309,0.483912446,0.355111723,0.197473115,0.179674772,0.154725744,0.157670347,0.528290626,0.461845143,0.148463616,0.223650986,0.172742281,0.194244887,0.21515521,0.246673405
